file,bucket,has_url,has_pdf,reason
"Crack_Pie_–_If_You_Give_a_Blonde_a_Kitchen",PDF,true,true,"content likely in PDF: attachments/Crack_Pie_–_If_You_Give_a_Blonde_a_Kitchen_1/pie.pdf"
"Cranberry_Ginger_Shandy_Recipe",FULL,true,false,"partial content → Vinst candidate"
"Cream_of_mushroom_soup",CLEAN,true,false,"structured ingredients + steps present"
"Cream_סופגניות",CLEAN,true,false,"structured ingredients + steps present"
"Cretan_Beet_and_Yogurt_Salad_with_Walnuts_Greek_Food_-_Greek_Cooking_-_Greek_Recipes_by_Diane_Koc",FULL,true,false,"partial content → Vinst candidate"
"Cretan_Beet_and_Yogurt_Salad_with_Walnuts_Greek_Food_-_Greek_Cooking_-_Greek_Recipes_by_Diane_Kochil",CLEAN,true,false,"structured ingredients + steps present"
"Cretan_Beet_and_Yogurt_Salad_with_Walnuts_Greek_Food_-_Greek_Cooking_-_Greek_Recipes_by_Diane_Kochil_2",FULL,true,false,"partial content → Vinst candidate"
"Crete_slow_baked_vegtables",STUB,true,false,"stub w/ source url → URL import"
"Crete_slow_baked_vegtables_2",FULL,true,false,"partial content → Vinst candidate"
"Crispy_baked_chicken_wings",FULL,true,false,"real content, prose-ish → good Vinst candidate"
"Crispy_baked_chicken_wings_2",FULL,false,false,"partial content → Vinst candidate"
"Crispy_baked_chicken_wings_3",FULL,false,false,"partial content → Vinst candidate"
"Crown_O’Gold_Meat_Loaf",FULL,false,false,"partial content → Vinst candidate"
"Crumb_Cake_Muffins",CLEAN,true,false,"structured ingredients + steps present"
"Crunchy_Baked_Chicken_Tenders",FULL,true,false,"partial content → Vinst candidate"
"Danielle's_Italian_dressing",FULL,false,false,"real content, prose-ish → good Vinst candidate"
"Danish_Rye_Bread_2",CLEAN,true,false,"structured ingredients + steps present"
"Danish_loaf_recipe",PDF,true,true,"content likely in PDF: attachments/Danish_loaf_recipe_1/my_bare_cupboard_Danish_loaf_bread_-_3_ways_-_Cocoa_Matcha_Ube_(_purple_yam_).pdf"
"Date_&_Nut_Energy_Bites",FULL,false,false,"partial content → Vinst candidate"
"Detox_juice",FULL,false,false,"partial content → Vinst candidate"
"Drambuie_cocktail_(no_idea_the_name)",FULL,false,false,"partial content → Vinst candidate"
"Early_18th-Century_Batter_Cake",FULL,false,false,"partial content → Vinst candidate"
